doc_id,category,filename,title,title_removal_mode,removed_title_text,retained_first_line_body,sentence_count,avg_sentence_len,median_sentence_len
593,03_3人际沟通,2017_08_01 有一种委屈，叫男朋友不觉得你委屈 conv.txt,2017_08_01 有一种委屈，叫男朋友不觉得你委屈,date_header_with_inline_body,有一种委屈，叫男朋友不觉得你委屈 原创：咪蒙 咪蒙 2017-08-01,网上有个女生说，有一天，她男朋友说，快来，我给你准备了一个神秘礼物！ 她满怀期待地跟她男朋友去看了礼物。,95,22.56,19.0
594,03_3人际沟通,2017_08_07 我们变成了自己讨厌的人，却没有过上想要的生活 conv.txt,2017_08_07 我们变成了自己讨厌的人，却没有过上想要的生活,date_header_with_inline_body,我们变成了自己讨厌的人，却没有过上想要的生活 原创：咪蒙 咪蒙 2017-08-07,01上周我见了一个广告公司的总监。 之前他负责了一个项目，合作方是他最讨厌的那种人：虚伪的人。 这种人我们身边大概都有。 表面上对你特别友好，背地里冷不防捅你几刀。 有一次，对方又在背后捅刀子，转头还到他面前取巧卖乖。 他一个大男人，都被对方这种行为气到哭！,89,30.01,25.0
595,03_3人际沟通,2017_08_08 初次爱你，请多关照 conv.txt,2017_08_08 初次爱你，请多关照,date_header_with_inline_body,初次爱你，请多关照 原创：咪蒙 咪蒙 2017-08-08,你有没有体验过一种很憋屈的爱情？ 他先来撩你，对你各种示好，各种体贴。,99,22.73,20.0
596,03_3人际沟通,2017_08_09 你我本无缘份，全靠尬聊在死撑 conv.txt,2017_08_09 你我本无缘份，全靠尬聊在死撑,date_header_with_inline_body,你我本无缘份，全靠尬聊在死撑 原创：咪蒙 咪蒙 2017-08-09,同事说，她去相亲，遇见了教科书式的尬聊。 “你和你弟谁比较大？”“……” “同事和你一个单位吗？”“……” “你弟弟是男孩还是女孩啊？”“……” 同事说，她再想接话也无从下嘴，只能全程保持沉默。,116,16.48,13.0
597,03_3人际沟通,2017_08_14 你明明是一条狗，却偏要做霸道总裁 conv.txt,2017_08_14 你明明是一条狗，却偏要做霸道总裁,date_header_with_inline_body,你明明是一条狗，却偏要做霸道总裁 原创：咪蒙 咪蒙 2017-08-14,寻狗启事： 你见过这只狗吗？,58,34.28,26.5
598,03_3人际沟通,2017_08_14 这家殡仪馆，居然有特殊服务 conv.txt,2017_08_14 这家殡仪馆，居然有特殊服务,date_header_with_inline_body,这家殡仪馆，居然有特殊服务 原创：沈心怡 咪蒙 2017-08-14,这个殡仪馆，在全国只此一家。 提供一项特殊的殡葬服务，别的殡仪馆把人抬进去出来一抔土，这个殡仪馆进去能烧出一本书。,91,31.26,30.0
599,03_3人际沟通,2017_08_15 偷看你朋友圈这件事，要被微信拆穿了 conv.txt,2017_08_15 偷看你朋友圈这件事，要被微信拆穿了,date_header_with_inline_body,偷看你朋友圈这件事，要被微信拆穿了 吕白 咪蒙 2017-08-15,#“不常联系好友”才是真正的朋友#昨天在朋友圈里看到说，下一版微信将新增“不常联系朋友”的功能。,81,28.47,26.0
600,03_3人际沟通,2017_08_16 这有50份零食大大大大大大礼包，要送给你！ conv.txt,2017_08_16 这有50份零食大大大大大大礼包，要送给你！,date_header_with_inline_body,这有50份零食大大大大大大礼包，要送给你！ 原创：咪蒙 咪蒙 2017-08-16,贝多芬说，我要扼住命运的咽喉。如果命中注定上班时间不能吃零食，我此生就不会再上班了。 贝多芬说得很对。,84,26.31,23.5
601,03_3人际沟通,2017_08_19 以后你过得好不好，我只能从朋友圈知道 conv.txt,2017_08_19 以后你过得好不好，我只能从朋友圈知道,date_header_with_inline_body,以后你过得好不好，我只能从朋友圈知道 原创：钟小钟 咪蒙 2017-08-19,BY猪坚强树树：,148,18.58,17.0
602,03_3人际沟通,2017_08_22 _我是为了钱和你在一起的__我知道_ conv.txt,2017_08_22 _我是为了钱和你在一起的__我知道_,date_header_with_inline_body,“我是为了钱和你在一起的”“我知道” 原创：张曙霞 咪蒙 2017-08-22,这世界有很多声音，有让听者欣喜若狂的、有让听者哭笑不得的、有让听者撕心裂肺的，而你是否听过念念不忘的？,82,25.32,22.0
603,03_3人际沟通,2017_08_23 表情包用得越来越多，我们聊天却越来越少 conv.txt,2017_08_23 表情包用得越来越多，我们聊天却越来越少,date_header_with_inline_body,表情包用得越来越多，我们聊天却越来越少 原创：咪蒙 咪蒙 2017-08-23,我们已经习惯用表情包来表达情绪了。,108,26.41,21.0
604,03_3人际沟通,2017_08_24 那个黑帮老大给我做了个按摩…… conv.txt,2017_08_24 那个黑帮老大给我做了个按摩……,date_header_with_inline_body,那个黑帮老大给我做了个按摩…… 原创：柴承 咪蒙 2017-08-24,你做过按摩么？ 我做过。 不过没找小姐。 找的盲人……,160,17.2,16.0
605,03_3人际沟通,2017_08_25 985学霸，生于农村，死于传销 conv.txt,2017_08_25 985学霸，生于农村，死于传销,date_header_with_inline_body,985学霸，生于农村，死于传销 原创：陈昌 咪蒙 2017-08-25,每个班上都有一个穷同学。 星华就是。,67,36.7,33.0
606,03_3人际沟通,2017_08_29 其实，99%的自闭症小朋友都不会画画 conv.txt,2017_08_29 其实，99%的自闭症小朋友都不会画画,date_header_with_inline_body,其实，99%的自闭症小朋友都不会画画 原创：咪蒙 咪蒙 2017-08-29,今天被“小朋友画廊”刷屏了。 据说，其中很多绘画者，是自闭症人士。,71,36.83,27.0
607,03_3人际沟通,2017_09_08 做那件事，他坚持不用右手 conv.txt,2017_09_08 做那件事，他坚持不用右手,date_header_with_inline_body,做那件事，他坚持不用右手 原创：咪蒙 咪蒙 2017-09-08,你身边有左撇子吗。 我认识一个，他叫阿智。 跟所有的左撇子一样，他从小就被爸妈骂。,65,28.15,21.0
